PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,DEGPOP,DEGAGG,DEGSBJ,UFIRST,UUPPER,ULOWER,UOTHER,UORDINARY,UDISTINCTION,UMERIT,UPASS,UNA
10000571,10000571,BA-FD,1,15,14,,5,35,40,20,0,0,0,0,0
10000571,10000571,BA-FINEART,1,30,14,,10,50,30,10,0,0,0,0,0
10000571,10000571,BA-FSS,1,15,14,,5,80,15,0,0,0,0,0,0
10000571,10000571,BA-FTD,1,35,14,,25,60,15,0,0,0,0,0,0
10000571,10000571,BA-FTV,1,45,13,069,15,70,15,0,0,0,0,0,0
10000571,10000571,BA-GEHU,1,50,11,L,5,55,25,15,0,0,0,0,0
10000571,10000571,BA-GRAPHCOM,1,50,14,,15,45,35,5,0,0,0,0,0
10000571,10000571,BA-HAD,1,55,13,102,33,44,22,0,0,0,0,0,0
10000571,10000571,BA-HY,1,45,14,,0,80,15,0,0,0,0,0,0
10000571,10000571,BA-IE,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-IEDSIN,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BA-MC,1,15,14,,30,50,20,0,0,0,0,0,0
10000571,10000571,BA-MT,1,25,14,,20,60,25,0,0,0,0,0,0
10000571,10000571,BA-MUS,1,40,14,,10,80,15,0,0,0,0,0,0
10000571,10000571,BA-PH,1,15,14,,15,45,30,15,0,0,0,0,0
10000571,10000571,BA-RPE,1,15,14,,15,65,25,0,0,0,0,0,0
10000571,10000571,BA-TP,1,20,14,,30,50,25,0,0,0,0,0,0
10000571,10000571,BA-YC,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BAMA-CM,1,100,13,097,13,71,15,1,0,0,0,0,0
10000571,10000571,BAMA-TDFI,1,115,13,096,18,44,32,5,0,0,0,0,0
10000571,10000571,BS-BI,1,20,14,,5,65,30,0,0,0,0,0,0
10000571,10000571,BS-BI-SW,1,20,13,012,5,65,30,5,0,0,0,0,0
10000571,10000571,BS-BICB,1,20,13,012,5,65,30,5,0,0,0,0,0
10000571,10000571,BS-BICB-SW,1,20,13,012,5,65,30,5,0,0,0,0,0
10000571,10000571,BS-BIHB,1,20,13,012,5,65,30,5,0,0,0,0,0
10000571,10000571,BS-BIHB-SW,1,20,13,012,5,65,30,5,0,0,0,0,0
10000571,10000571,BS-CRI,1,30,13,054,0,55,35,5,0,0,0,0,0
10000571,10000571,BS-EDABI,1,20,13,012,5,65,30,5,0,0,0,0,0
10000571,10000571,BS-EDABI,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BS-EDAGE,1,50,13,031,5,55,25,15,0,0,0,0,0
10000571,10000571,BS-EDAGE,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BS-EDAPS,1,75,13,019,5,60,29,6,0,0,0,0,0
10000571,10000571,BS-EDAPS,1,165,13,105,16,58,22,3,0,0,0,0,0
10000571,10000571,BS-EDASC,1,30,13,054,0,55,35,5,0,0,0,0,0
10000571,10000571,BS-EDASC,1,165,13,105,16,58,22,3,0,0,0,0,0
